admin1,admin2,location_name,latitude,longitude,risk_score,expected_fatalities
Uasin Gishu,Kesses,Timboroa,0.05,35.5167,0.3,2
Busia,Bunyala,Port Bunyala,0.0939,33.9756,0.3,2
Kitui,Mwingi North,Mandongoi,-0.5197,38.5823,0.3,2
Makueni,Kaiti,Muiu,-1.7044,37.5745,0.2,1
Lamu,Lamu East,Tundwa,-2.0788,41.1148,0.2,1
Bomet,Bomet East,Bomet,-0.7833,35.35,0.2,1
Bomet,Bomet Central,Ndarawetta,-0.6868,35.3801,0.2,1
Isiolo,Merti,Yamicha,1.905,38.8257,0.2,1
Kajiado,Kajiado Central,Kajiado,-1.85,36.7833,0.2,1
Kajiado,Kajiado West,Magadi,-1.9,36.2833,0.2,1
Kitui,Mwingi West,Kanyaa,-1.0201,37.9245,0.2,1
Kitui,Mwingi Central Sub- County,Mwingi,-0.9333,38.0667,0.2,1
Bomet,Chepalungu,Chebunyo,-0.9667,35.1833,0.0,0
Migori,Nyatike,Muhuru Bay,-0.9987,34.0964,0.0,0
Narok,Narok South,Maji Moto,-1.3379,35.7094,0.0,0
Kilifi,Magarini,Marereni,-2.7561,39.9944,0.0,0
Machakos,Masinga,Kavwea,-1.0556,37.6253,0.0,0
Marsabit,North Horr,Maikona,2.9333,37.6333,0.0,0
Marsabit,Moyale,Sololo,3.55,38.65,0.0,0
Mandera,Mandera South,El Ramu,2.332,40.889,0.0,0
Wajir,Wajir South,Habaswein,1.0104,39.4921,0.0,0
